idUsuario;timestamp;br;km;tipoAlerta
2900;1723377358;280;35.8;F
2601;1729119678;146;41.5;D
4664;1707406032;120;849.2;F
765;1717523932;290;203.1;C
3649;1713760818;174;2845.9;D
2828;1729601652;230;2206.3;E
1863;1705344243;104;209.3;C
2207;1731369323;135;1608.8;E
1903;1725901992;222;1192.2;B
2104;1715272400;158;49.3;E
72;1722066416;153;825.2;F
2876;1712315525;230;2206.3;D
1321;1729570145;265;350.9;C
3609;1707082112;101;2113.3;F
4967;1734396615;210;394.1;E
912;1710235963;262;1217.1;B
2617;1735233791;272;700.4;C
4854;1718957978;267;364.6;D
850;1722073510;285;22.3;A
1618;1711499210;110;69.7;C
3120;1734675500;120;849.4;C
3484;1718674130;156;660.3;A
4933;1711335534;283;1159.3;C
1708;1724873948;146;54.4;E
2619;1729919298;116;2794.1;E
4562;1721473772;251;1244.0;E
2453;1720520480;110;88.6;C
2148;1729358053;116;4211.5;A
1050;1704817676;251;1374.6;D
4510;1715721855;235;669.9;C
1419;1725568820;104;209.1;B
1163;1704123280;135;1608.7;E
4818;1731466986;272;700.4;A
1610;1733624183;272;700.1;B
3608;1713167151;155;342.0;A
1987;1727106812;259;671.5;B
314;1723644850;174;1459.2;C
1885;1709805486;110;88.8;E
1796;1710288754;280;551.1;C
2990;1717312155;210;394.3;A
2973;1714944346;156;240.6;B
2626;1714458408;285;22.3;C
3740;1710076501;122;1153.0;F
1380;1728328168;285;22.3;C
112;1727011361;232;352.6;D
1115;1724420880;158;1019.0;A
3598;1706651638;293;224.7;B
1231;1706060050;259;671.5;E
3063;1709197143;226;725.8;C
787;1719834895;222;1192.4;C
3408;1710366458;259;330.8;E
3462;1715063586;265;350.7;A
141;1732336906;265;766.0;A
2944;1711972590;230;1753.5;A
2232;1732899697;267;364.9;C
2173;1732191204;259;488.6;A
4976;1731869524;104;440.1;C
4178;1721263591;104;407.0;B
2148;1708116555;120;762.5;B
1824;1724160771;122;1579.1;B
2101;1733498931;120;434.0;A
4205;1712670805;154;381.0;C
1804;1722502093;280;35.9;C
2870;1712411431;259;647.6;B
3455;1708240993;280;551.5;F
2695;1722068570;287;106.8;F
528;1704337225;283;1159.5;C
1242;1732146802;267;1174.1;E
3419;1727462718;135;1646.8;B
3864;1705059444;222;1101.9;A
3451;1726303275;104;440.4;D
4391;1733390505;232;432.1;B
4586;1735109307;283;1159.3;C
4231;1719614197;262;1217.2;F
1139;1733698882;101;2113.5;A
4896;1731370254;156;240.9;D
168;1707575222;163;1125.7;A
3650;1705716125;230;2206.4;C
4881;1726208854;277;333.0;D
1730;1727307716;154;232.5;F
1161;1710698840;222;681.9;F
508;1708735527;158;2303.4;F
2561;1728991541;174;2845.6;D
1269;1710151620;104;481.1;B
2729;1721836188;158;2103.9;C
3396;1716471229;283;802.4;D
4713;1714119995;116;471.5;C
4166;1734979447;277;523.7;A
4819;1724477521;154;246.1;E
303;1720016995;163;984.5;B
792;1719408760;146;534.3;F
2571;1715796826;222;681.9;A
2473;1716642173;153;2775.2;F
4346;1714290643;267;1174.2;A
46;1716390676;242;1423.5;C
1836;1705168826;210;319.9;E
679;1725074585;116;4211.6;C
2292;1733857912;222;1192.5;C
4750;1731267625;222;1219.5;A
3383;1706085907;287;106.8;C
4926;1712612401;283;2105.3;D
726;1727274460;210;130.5;B
4602;1722420172;232;361.1;E
1303;1725489781;210;319.6;C
3843;1731138090;272;700.0;C
1013;1726404884;163;2025.9;C
4015;1711478905;285;527.0;D
3427;1729784606;116;133.2;F
1329;1709895496;265;409.0;E
1155;1732923959;293;247.1;D
3806;1711490812;122;1153.1;B
2603;1713347314;262;2011.3;A
4540;1718929163;277;77.7;A
3935;1712586626;110;793.5;E
4751;1706800438;277;314.3;C
1586;1721096525;242;2168.6;B
1975;1706918019;226;725.5;C
4047;1712238016;235;1523.2;D
3986;1715249490;280;231.1;B
1329;1716263292;235;288.1;D
624;1721070270;280;341.8;F
3680;1714165721;267;364.7;E
842;1716144771;146;54.2;B
3689;1707940746;280;511.7;B
1496;1723435177;280;512.0;E
4379;1718105811;280;434.3;F
640;1715709743;101;2113.5;F
2957;1733839651;262;2011.2;A
4195;1723336742;120;720.4;B
3395;1718757014;290;309.8;F
3296;1729377752;230;1248.1;C
1612;1719497498;146;534.3;B
3038;1713107081;272;700.4;F
1426;1720048627;280;512.0;D
2364;1704111539;272;418.1;D
3841;1728929972;277;333.2;A
4883;1723859377;153;2775.4;A
4664;1725455530;226;2158.5;B
1632;1725780092;110;88.6;E
1603;1728004362;146;534.4;E
1328;1722851967;158;1481.8;E
4684;1716183969;272;4.2;C
4194;1707958759;232;361.4;D
2442;1709031459;232;352.8;D
2557;1708870644;158;2303.2;C
2343;1730046298;242;2168.9;B
4714;1726888564;230;1753.9;B
4145;1734454653;259;3.7;F
4198;1726181748;120;806.6;E
4324;1728569189;262;1217.0;B
2085;1716902588;146;534.2;A
1945;1726588606;163;1732.3;E
895;1734287302;210;394.0;B
491;1733797320;120;762.7;D
1459;1722850811;210;130.8;F
2702;1710826099;280;511.9;C
4852;1710342074;101;2113.3;E
1537;1709371118;174;2845.7;C
1058;1730917973;174;1514.2;A
4161;1721193350;135;1837.8;F
4983;1723343401;120;897.5;E
4946;1708971432;265;337.1;B
1229;1714189218;232;539.3;E
2757;1731650718;259;330.4;B
3692;1722448147;293;291.6;A
4393;1719778868;222;1176.6;F
4593;1734551976;210;130.7;A
778;1717869449;262;511.6;E
3907;1707234138;293;247.0;E
2178;1705748535;282;290.8;E
4623;1723206857;156;679.4;E
1203;1732672946;267;912.1;F
3470;1708937699;235;288.2;F
59;1728449646;135;713.8;D
593;1724697232;101;1486.3;A
2506;1705786728;116;1242.9;C
1504;1723898449;122;14.6;F
4442;1717613514;110;88.7;C
1771;1726105838;158;3518.2;F
1795;1712470226;110;69.9;A
2533;1717800632;120;180.0;A
961;1730637452;265;409.0;F
2781;1727469785;153;2778.0;F
4309;1714227197;282;325.6;A
4762;1717991700;287;106.8;F
4767;1710412451;154;232.5;E
3866;1723986890;135;257.6;E
3566;1710759014;235;434.5;E
3877;1734916215;210;60.0;E
1278;1712408663;226;2158.6;B
277;1711875192;265;104.0;D
4620;1712737852;101;1486.1;B
1935;1720084195;158;3931.5;B
4733;1720107076;104;337.2;D
1444;1735119622;110;595.9;C
3793;1731201001;280;551.5;D
2676;1707911156;283;802.0;D
4785;1707333701;282;325.6;D
3669;1705435611;267;1174.1;D
1956;1715032234;210;294.6;C
2453;1717589542;156;749.1;A
1922;1721318947;153;1507.3;C
2943;1720183178;122;788.8;C
1651;1705108334;290;247.7;D
2060;1717376941;272;293.3;A
3454;1711813571;135;331.3;D
2444;1709743420;226;1191.6;B
1686;1709056547;104;481.2;D
548;1729286062;110;126.6;F
1213;1714765327;122;789.0;A
3776;1705892109;242;1359.6;E
2993;1735573451;242;2168.9;B
4626;1709660812;280;551.1;E
2045;1717841532;242;1359.5;B
1473;1712162851;230;1704.5;F
1010;1718312835;120;849.2;B
3036;1728205494;232;432.1;B
4586;1711125163;282;32.8;F
4730;1720204987;153;2778.4;D
3643;1728876173;277;695.6;E
4127;1708088026;265;104.4;A
1348;1707900434;122;1066.8;B
2754;1715914294;230;3846.6;E
2133;1716024931;110;69.9;D
3553;1731712334;272;293.2;F
1339;1721395248;122;552.7;B
4711;1726034037;242;2168.8;E
130;1733797912;282;390.4;D
2972;1704131297;163;2881.2;A
912;1731374118;235;632.9;A
877;1728201529;156;199.3;E
4467;1728591350;232;12.7;A
3177;1716586657;242;2133.0;B
4635;1723492952;230;2206.4;C
3633;1730112275;290;494.7;F
2122;1729497836;210;60.4;D
396;1728146892;282;32.9;F
600;1735094309;282;325.6;D
2351;1708129433;232;13.0;A
2521;1725801170;135;1646.6;A
225;1711100512;277;464.4;E
2569;1730897052;283;3267.9;D
4925;1733632399;251;464.1;C
2579;1724208665;226;1191.5;F
2667;1726736404;259;330.8;E
